"","lon","lat","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"1",37.157398,-0.502137,18.4501037597656,11.5183334350586,74.2758941650391,107.216209411621,26.8592491149902,11.3517503738403,15.5074987411499,19.199291229248,17.1783332824707,19.4297504425049,17.0181655883789,1353,328,36,86.7763824462891,675,120,464,125
"2",32.196487,-0.065307,21.7179164886475,7.7497501373291,82.763313293457,50.7173957824707,26.3957500457764,17.0319995880127,9.36375045776367,22.0884590148926,21.0748748779297,22.267707824707,21.0127506256104,1563,243,65,43.0644721984863,633,243,347,256
"3",35.79977,-3.360253,20.6197090148926,10.841667175293,69.4199905395508,152.632522583008,28.5874996185303,12.9700002670288,15.6174993515015,21.9724998474121,18.8454170227051,21.9724998474121,18.3823757171631,702,180,2,92.5369262695312,373,8,373,13
"4",32.759904,-19.093358,17.6116676330566,11.236291885376,58.2787628173828,295.25927734375,26.0785007476807,6.79825019836426,19.2802505493164,20.3328742980957,13.4426250457764,20.3328742980957,13.4426250457764,941,205,8,96.2646408081055,577,30,577,30
"5",35.664659,-3.298148,17.4401969909668,9.80972957611084,66.4615783691406,148.662902832031,24.8012504577637,10.0412502288818,14.7600002288818,18.0936241149902,15.7114582061768,18.7472496032715,15.2709579467773,921,220,6,85.3787612915039,465,20,453,31
"6",30.967329,-25.446611,20.2744274139404,13.3729372024536,58.5973358154297,332.682403564453,29.7695007324219,6.94775009155273,22.8217506408691,23.8811664581299,15.7633333206177,23.8811664581299,15.7633333206177,782,138,9,76.6521530151367,381,30,381,30
"7",30.967519,-25.446488,20.2744274139404,13.3729372024536,58.5973358154297,332.682403564453,29.7695007324219,6.94775009155273,22.8217506408691,23.8811664581299,15.7633333206177,23.8811664581299,15.7633333206177,782,138,9,76.6521530151367,381,30,381,30
"8",35.593647,-3.336668,20.2541351318359,11.2752714157104,70.473747253418,151.35969543457,28.2474994659424,12.2482500076294,15.999249458313,20.912166595459,18.5070419311523,21.5593757629395,18.019624710083,755,183,2,89.5569915771484,394,10,392,16
"9",10.413683,5.374976,22.4713859558105,9.83031272888184,66.7344131469727,131.75325012207,30.7994995117188,16.0690002441406,14.7304992675781,21.1938743591309,23.2721672058105,24.1797504425049,20.9710426330566,1926,331,10,70.3109283447266,883,53,318,869
"10",13.496884,-14.916971,16.6760101318359,11.6440210342407,62.4235496520996,173.407424926758,25.2672500610352,6.61399984359741,18.6532497406006,17.361499786377,14.3717498779297,18.30295753479,14.0960416793823,903,208,0,94.8362121582031,495,2,187,8
